usuario_id,net_id,yeardone,privacy,dropout,study,school,schooltype,schoolprov,schooltown,stage,grade,group,class_size,gender,female,yearbirth,age,siblings,nsiblings,nsister,nbrother,ranksib,migrant,stairs10,stairs5,stairsN,nmark10_text,nmark8_text,gpa,gpaN,repeater,optional,moodalone,moodfun,moodgeneral,happyN,height,weight,obesity,uniwant,world,abroad,willwork,wish_slider,good1,good2,good3,like1,like2,like3,goodbeforelike,money1,money2,money3,money4,money5,money6,patienceN,cns_td,tpc1,tpc11,tpc111,tpc112,tpc22,tpc221,tpc222,patienceC,prob1,prob2,prob3,prob4,prob5,prob6,riskyN,cns_risk,hlbeforetd,newdesignhl,sp1_v1,sp2_v1,sp3_v1,sp1_v2,sp2_v2,sp3_v2,sp4_v2,sp5_v2,sp6_v2,sp_version,sp_randomized,delavande__apple20,delavande__apple10,delavande__riceweek,delavande__ricemoth,delavande__sch0,delavande__bath100,delavande__uni,delavande__study,delavande_slider,delavande_total,crt1,crt2,crt3,crtN,fin1,fin2,fin3,finN,st_cards1,st_cards2,st_cards3,st_cards4,st_cards1_ne,st_cards2_ne,st_cards3_ne,st_cards4_ne,st_buttons_game1,st_buttons_game2,st_buttons_argument1,st_buttons_argument2,st_buttons_maxp,st_buttons_minr,st_buttons_randomnised,st_buttons_changedcolor,st_buttons_game1_rival,st_buttons_game2_rival,st_buttons_argument1_rival,st_buttons_argument2_rival,st_piggy_belief15,st_piggy_belief0,st_piggy_belief_position_15,st_piggy_belief_position_0,st_piggy_0_sec,st_piggy_15_sec,st_piggy_position_0,st_piggy_position_15,st_piggy_15_distance_ne,st_piggy_0_distance_ne,honesty,honest_pictures,honest_numbers,treatment_numbers,creativityf,brick,rope,ropeuse,rope_order,left_hand,device,covid1,covid2,covid3,covid4,ftr1,ftr2,ftr3,ftr_short,clima1,clima2,clima3,clima4,clima5,clima6,clima7,clima8,clima9,clima10,clima11,clima12,clima13
2039,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,1,0,2009,12,,,,,,0,,,,,,9,1,,"Segunda lengua extranjera (Francés, Chino, etc)",4,4,4,1,160,53,,,,,,,,,,,,,,1,1,1,0,0,0,.5,0,,,,,,,,,0,0,1,0,1,1,.5,0,0,0,0,0,0,,,,,,,1,0,,,,,,,,,,,0,0,1,.33333334,0,0,1,.33333334,3,4,2,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,Utilizarlo como soporte para objetos.,,,,0,2,,,,,,,,,,,,,,,,,,,,,
2040,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,2,1,2009,12,,,,,,0,,,,,,3,.33333334,,Otra,2,4,4,.83333331,,50,,,,,,,,,,,,,,0,1,0,1,1,1,.66666669,0,,,,,,,,,0,1,1,1,0,1,.66666669,0,0,0,0,1,0,,,,,,,1,0,,,,,,,,,,,0,0,0,0,0,0,1,.33333334,5,3,3,5,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,4,,,2,"Hacer una casa , un tejado",,,,0,3,,,,,,,,,,,,,,,,,,,,,
2041,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,2,1,2009,12,,,,,,0,,,,,,7,.77777779,,Otra,3,3,3,.75,,34,,,,,,,,,,,,,,0,1,1,1,1,1,.83333331,1,,,,,,,,,0,0,0,0,0,1,.16666667,1,0,0,0,0,1,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,1,0,0,.33333334,5,3,5,5,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,Cualquier cosa de edificios y muebles,,,,0,2,,,,,,,,,,,,,,,,,,,,,
2042,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,1,0,2009,12,,,,,,0,,,,,,8,.8888889,,"Segunda lengua extranjera (Francés, Chino, etc)",4,3,3,.83333331,,,,,,,,,,,,,,,,0,0,1,1,1,1,.66666669,1,,,,,,,,,0,0,1,1,1,1,.66666669,1,0,0,1,0,1,,,,,,,1,0,,,,,,,,,,,0,0,1,.33333334,0,0,0,0,3,1,5,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,1,Para construir una casa,,,,0,2,,,,,,,,,,,,,,,,,,,,,
2043,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,2,1,2009,12,,,,,,1,,,,,,7,.77777779,,Otra,3,2,3,.66666669,,,,,,,,,,,,,,,,0,1,1,1,1,1,.83333331,1,,,,,,,,,1,0,0,0,1,1,.5,0,0,0,0,1,0,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,0,0,1,.33333334,5,4,5,5,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,Construir una casa y soporte de algo,,,,0,3,,,,,,,,,,,,,,,,,,,,,
2044,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,1,0,2009,12,,,,,,1,,,,,,0,0,,Otra,2,4,3,.75,170,56,,,,,,,,,,,,,,0,0,1,0,0,0,.16666667,0,,,,,,,,,0,0,1,1,1,1,.66666669,1,0,0,0,1,0,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,0,0,0,0,1,3,3,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,3,"construir algo, agredir, hacer pesas",,,,0,1,,,,,,,,,,,,,,,,,,,,,
2045,5_2_1,2021,1,1,337,5,2,1,3,2,1,1,30,1,0,2008,13,,,,,,0,,,,,,0,0,,Otra,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,.33333334,1,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,1,0,,,,,,,,,,,0,0,1,.33333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,3,,,,,,,,,,,,,,,,,,,,,
2046,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,2,1,,12,,,,,,0,,,,,,0,0,,Otra,2,3,2,.58333331,146,34,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,0,1,1,0,1,1,.66666669,0,0,0,1,1,1,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,0,0,1,.33333334,3,5,2,5,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,4,Matar a alguien; construir una casa; jugar; hacer daño,,,,0,3,,,,,,,,,,,,,,,,,,,,,
2047,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,1,0,2009,12,,,,,,1,,,,,,8,.8888889,,"Segunda lengua extranjera (Francés, Chino, etc)",4,4,3,.91666669,157,50,,,,,,,,,,,,,,0,0,0,1,1,1,.5,1,,,,,,,,,0,0,1,1,1,1,.66666669,1,0,0,0,0,0,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,0,0,1,.33333334,4,3,2,3,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,Una mesa.,,,,0,2,,,,,,,,,,,,,,,,,,,,,
2048,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,2,1,2009,12,,,,,,0,,,,,,6,.66666669,,Otra,2,4,3,.75,160,62,,,,,,,,,,,,,,0,1,1,1,1,1,.83333331,1,,,,,,,,,0,1,1,1,1,1,.83333331,1,0,0,0,0,0,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,1,0,1,.66666669,4,2,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,Para construir una casa o un edificio.,,,,0,3,,,,,,,,,,,,,,,,,,,,,
