usuario_id,yeardone,study,privacy,dropout,device,net_id,school,grade,group,class_size,gender,yearbirth,age_assumed,siblings,left_hand,delavande__apple20,delavande__apple10,delavande__riceweek,delavande__ricemoth,delavande__sch0,delavande__bath100,delavande__uni,delavande__study,delavande_slider,socpref1,socpref2,socpref3,sp1,sp2,sp3,sp4,sp5,sp6,migrant,repeater,gpaN,moodalone,moodfun,moodgeneral,patienceN,cns_td,crtN,finN,riskyN,cns_risk,self_bullying,n_others_bullying,others_bullying,height,weight,obesity,outdegreef,indegreef,eigenvectorf,clusteringf,outdegreee,indegreee,eigenvectore,clusteringe,density_f,average_degree_f,density_e,average_degree_e,schooltype,schooltown,schoolprov,nsiblings,rankbrother,stage,stairsN
2039,2021,337,1,0,2,5_2_1,5,1,1,30,0,2009,12,,0,,,,,,,,,,A),A),A),,,,,,,0,,1,4,4,4,.5,0,.33333334,.33333334,.5,0,0,0,0,160,53,,11,13,0,.8308823529411765,2,2,0,.8333333333333334,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2040,2021,337,1,0,3,5_2_1,5,1,1,30,1,2009,12,,0,,,,,,,,,,A),B),A),,,,,,,0,,.33333334,2,4,4,.66666669,0,0,.33333334,.66666669,0,0,0,0,,50,,10,11,0,.7238095238095238,3,2,0,.5,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2041,2021,337,1,0,2,5_2_1,5,1,1,30,1,2009,12,,0,,,,,,,,,,A),A),B),,,,,,,0,,.77777779,3,3,3,.83333331,1,.66666669,.33333334,.16666667,1,0,0,0,,34,,10,12,0,.6323529411764706,0,2,0,0,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2042,2021,337,1,0,2,5_2_1,5,1,1,30,0,2009,12,,0,,,,,,,,,,B),A),B),,,,,,,0,,.8888889,4,3,3,.66666669,1,.33333334,0,.66666669,1,0,0,0,,,,12,13,0,.7573529411764706,0,7,0,.4285714285714286,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2043,2021,337,1,0,3,5_2_1,5,1,1,30,1,2009,12,,0,,,,,,,,,,A),B),A),,,,,,,1,,.77777779,3,2,3,.83333331,1,.66666669,.33333334,.5,0,0,0,0,,,,18,13,0,.5714285714285714,1,1,0,1,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2044,2021,337,1,0,1,5_2_1,5,1,1,30,0,2009,12,,0,,,,,,,,,,A),B),A),,,,,,,1,,0,2,4,3,.16666667,0,.66666669,0,.66666669,1,0,0,0,170,56,,15,7,0,.6583333333333333,5,14,0,.2166666666666667,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2045,2021,337,1,1,3,5_2_1,5,1,1,30,0,2008,13,,0,,,,,,,,,,,,,,,,,,,0,,0,,,,.33333334,1,.33333334,,,,0,0,0,,,,18,8,0,.5032679738562091,7,6,0,.2435897435897436,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2046,2021,337,1,0,3,5_2_1,5,1,1,30,1,,12,,0,,,,,,,,,,B),B),B),,,,,,,0,,0,2,3,2,1,1,.66666669,.33333334,.66666669,0,0,0,0,146,34,,17,17,0,.5471014492753623,25,2,0,.2246153846153846,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2047,2021,337,1,0,2,5_2_1,5,1,1,30,0,2009,12,,0,,,,,,,,,,A),A),A),,,,,,,1,,.8888889,4,4,3,.5,1,.66666669,.33333334,.66666669,1,0,0,0,157,50,,3,17,0,.6257309941520468,3,2,0,.4,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2048,2021,337,1,0,3,5_2_1,5,1,1,30,1,2009,12,,0,,,,,,,,,,A),A),A),,,,,,,0,,.66666669,2,4,3,.83333331,1,.66666669,.66666669,.83333331,1,0,0,0,160,62,,12,10,0,.8461538461538461,9,2,0,.3454545454545455,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2049,2021,337,1,1,3,5_2_1,5,1,1,30,0,2009,12,,0,,,,,,,,,,,,,,,,,,,1,,.11111111,,,,.83333331,1,.66666669,.33333334,,,0,0,0,,,,13,12,0,.775,0,2,0,1,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2050,2021,337,1,0,3,5_2_1,5,1,1,30,0,2009,12,,0,,,,,,,,,,A),B),A),,,,,,,0,,.8888889,4,3,3,.5,1,.33333334,.66666669,.5,1,0,0,0,153,49,,5,13,0,.8717948717948718,0,1,0,0,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
